"SEQ","VOYTERM","DATETIMEACTUALARRIVAL","DATETIMEACTUALDEPARTURE","WAGON","WAGTYPE","WPOS","ADDRESS_BARGEOPER","COPINOCODELOAD","COPINOCODEDISCHARGE","LOADINGORDISCHARGE","MAXTEU","TARE","LEN","SIZEFT","NRAXES","WAGONMODEL","PAYLOAD"
118541274,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804565966-1",SGNSS,1,$SHUTRO,,MS/10151,L,3,,,,,,
118541275,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563012-6",SGNSS,2,$SHUTRO,,MS/10151,L,3,,,,,,
118541276,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884962391-7",SGGMRS104S90,3,$SHUTRO,,MS/10151,L,4.5,,,,,,
118541277,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804565972-9",SGNSS,4,$SHUTRO,,MS/10151,L,3,,,,,,
118541278,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563243-7",SGNSS,5,$SHUTRO,,MS/10151,L,3,,,,,,
118541279,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563010-0",SGNSS,6,$SHUTRO,,MS/10151,L,3,,,,,,
118541280,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563064-7",SGNSS,7,$SHUTRO,,MS/10151,L,3,,,,,,
118541281,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804565933-1",SGNSS,8,$SHUTRO,,MS/10151,L,3,,,,,,
118541282,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884961393-4",SGGMRSS,9,$SHUTRO,,MS/10151,L,4.5,27200,29.59,90,6,,106000
118541283,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563108-2",SGNSS,10,$SHUTRO,,MS/10151,L,3,,,,,,
118541284,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804565974-5",SGNSS,11,$SHUTRO,,MS/10151,L,3,,,,,,
118541285,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804565948-9",SGNSS,12,$SHUTRO,,MS/10151,L,3,,,,,,
118541286,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33874908369-1",SSFFGGMRRSS,13,$SHUTRO,,MS/10151,L,4.5,,,,,,
118541287,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563133-0",SGNSS,14,$SHUTRO,,MS/10151,L,3,,,,,,
118541288,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563026-6",SGNSS,15,$SHUTRO,,MS/10151,L,3,,,,,,
118541289,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884961375-1",SGGMRSS,16,$SHUTRO,,MS/10151,L,4.5,,,,,,
118541290,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563019-1",SGNSS,17,$SHUTRO,,MS/10151,L,3,,,,,,
118541291,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"31804563222-7",SGNSS,18,$SHUTRO,,MS/10151,L,3,,,,,,
118541292,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"37804563192-6",SGGOS,19,$SHUTRO,,MS/10151,L,3,,,,,,
118541293,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884962314-9",SGGMRS,20,$SHUTRO,,MS/10151,L,4.5,,,,,,
118541294,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884961087-2",SGGMRSS,21,$SHUTRO,,MS/10151,L,4.5,28000,29.59,90,6,,108000
118541295,CTTROT20210111MORTARA-B,2021-01-11 05:55:00,2021-01-11 09:05:00,"33884962336-2",SGGMRSS,22,$SHUTRO,,MS/10151,L,4.5,,,,,,
118585487,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33884961336-3",SGGMRSS90,1,$SHUTRO,,MS/10211,L,4.5,27200,29.59,90,6,TOUAX,107800
118585488,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804565955-4",SGNSS60,2,$SHUTRO,,MS/10211,L,3,19000,19.74,60,4,ERMEWA,71000
118585489,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33534557885-0",SGNSS60,3,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585490,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563066-2",SGNSS60,4,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585491,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33534557756-3",SGNSS60,5,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585492,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563084-5",SGNSS60,6,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585493,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"37804563129-8",SGNSS60,7,$SHUTRO,,MS/10211,L,3,19200,19.64,60,4,TOUAX,70800
118585494,CTTROT20210113MORTARA-B,2021-01-13 06:18:00,2021-01-13 08:51:00,"33884962366-9",SGGMRSS90,8,$SHUTRO,,MS/10211,L,4.5,27200,29.59,90,6,TOUAX,170800
