NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210331POL,,,,,,0,26TK,3076433,,1.3,0,,,,368361,,lader,CTTROT,,4800,TWSU 271716 5,47.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,0,45OS,3076434,,2.25,,,,,368361,,lader,CTTROT,,4500,,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,3278,45PW,3076420,,2.25,3278,,,,368361,,lader,CTTROT,,4400,PVDU 111875 0,25.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,3442,45PW,3076419,,2.25,3442,,,,368361,,lader,CTTROT,,4400,SANU 752884 8,21.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,5430,45PW,3076416,,2.25,5430,,,,368361,,lader,CTTROT,,4400,PVDU 113259 4,35.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,5450,45PW,3076414,,2.25,5450,,,,368361,,lader,CTTROT,,4400,CLXU 451416 0,21.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,5450,45PW,3076415,,2.25,5450,,,,368361,,lader,CTTROT,,4400,TLLU 157703 5,25.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,5470,45PW,3076412,,2.25,5470,,,,368361,,lader,CTTROT,,4400,PVDU 105751 0,35.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,5470,45PW,3076413,,2.25,5470,,,,368361,,lader,CTTROT,,4400,SANU 750047 6,13.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,14000,45OS,3076418,,2.25,14000,,,,368361,,lader,CTTROT,,4500,NFLU 203488 3,43.02.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,18681,20DV,3076399,,1,,,,,368361,,lader,CTTROT,,2300,MEDU 347077 8,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,20007,45PW,3076411,,2.25,,,,,368361,,lader,CTTROT,,4400,SANU 752337 9,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,22000,45PW,3076423,,2.25,,,,,368361,,lader,CTTROT,,4400,PVDU 112370 9,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,22597,45PW,3076424,,2.25,,,,,368361,,lader,CTTROT,,4400,SANU 751280 0,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,22900,20DV,3076398,,1,22900,,,,368361,,lader,CTTROT,,2300,ICUU 215014 4,31.02.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23000,20TK,3076384,,1,23000,,,,368361,,lader,CTTROT,,4000,PCVU 260064 7,31.02.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23333,45PW,3076426,,2.25,,,,,368361,,lader,CTTROT,,4400,CNEU 459290 0,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23400,20TK,3076387,,1,23400,,,,368361,,lader,CTTROT,,4000,HOYU 241757 1,09.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23500,20TK,3076386,,1,23400,,,,368361,,lader,CTTROT,,4000,HOYU 964434 5,15.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23583,45PW,3076430,,2.25,,,,,368361,,lader,CTTROT,,4400,CNEU 459488 3,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23685,45PW,3076425,,2.25,,,,,368361,,lader,CTTROT,,4400,CNEU 459440 9,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23801,45PW,3076429,,2.25,,,,,368361,,lader,CTTROT,,4400,CNEU 456399 0,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23896,45PW,3076421,,2.25,,,,,368361,,lader,CTTROT,,4400,EUCU 458399 4,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23956,45PW,3076417,,2.25,23956,,,,368361,,lader,CTTROT,,4400,SANU 750905 1,27.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23959,45PW,3076422,,2.25,,,,,368361,,lader,CTTROT,,4400,SANU 750997 7,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,23976,45PW,3076428,,2.25,,,,,368361,,lader,CTTROT,,4400,TLLU 161052 9,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24000,24TK,3076407,,1.2,,,,,368361,,lader,CTTROT,,4800,EKCU 322211 1,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24000,26TK,3076408,,1.3,,,,,368361,,lader,CTTROT,,4800,DHIU 205078 0,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24040,22TK,3076400,,1.1,,,,,368361,,lader,CTTROT,,4800,DHIU 062115 5,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24080,20TK,3076389,,1,,,,,368361,,lader,CTTROT,,4000,BTLU 269017 2,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24228,45PW,3076427,,2.25,,,,,368361,,lader,CTTROT,,4400,CNEU 459415 8,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24480,45PW,3076431,,2.25,,,,,368361,,lader,CTTROT,,4400,EUCU 451517 7,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,24800,30BU,3076410,,1.5,,,,,368361,,lader,CTTROT,,3300,BUKU 460568 3,,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,25000,22TK,3076402,,1.1,24640,,,,368361,,lader,CTTROT,,4800,WABU 271495 5,05.02.2,10,11,False,1600,0.9,False,1
,,CTTROT20210331POL,,,,,,25000,22TK,3076403,,1.1,24460,,,,368361,,lader,CTTROT,,4800,WABU 274662 8,05.02.1,10,11,False,1600,0.9,False,1
