NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210408POL,,,,,,0,45PW,3091346,,2.25,0,,,,368696,,lader,CTTROT,,4400,EUCU 451701 4,35.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091347,,2.25,0,,,,368696,,lader,CTTROT,,4400,EUCU 455026 5,09.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091348,,2.25,,,,,368696,,lader,CTTROT,,4400,EUCU 456074 6,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091349,,2.25,0,,,,368696,,lader,CTTROT,,4400,EUCU 466004 6,37.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091350,,2.25,0,,,,368696,,lader,CTTROT,,4400,EUCU 466008 8,11.06.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091351,,2.25,0,,,,368696,,lader,CTTROT,,4400,EUCU 466072 4,13.02.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091352,,2.25,0,,,,368696,,lader,CTTROT,,4400,TCLU 480950 0,35.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091353,,2.25,0,,,,368696,,lader,CTTROT,,4400,TCLU 481688 1,09.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091354,,2.25,0,,,,368696,,lader,CTTROT,,4400,TLLU 160903 0,13.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,0,45PW,3091355,,2.25,0,,,,368696,,lader,CTTROT,,4400,TLLU 161023 6,13.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,2635,45PW,3091334,,2.25,,,,,368696,,lader,CTTROT,,4400,CLDU 963099 1,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,3932,45PW,3091333,,2.25,,,,,368696,,lader,CTTROT,,4400,CLDU 961650 3,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,4000,45PW,3091338,,2.25,,,,,368696,,lader,CTTROT,,4400,TLLU 160883 5,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5280,45PW,3091336,,2.25,,,,,368696,,lader,CTTROT,,4400,CNEU 459486 2,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,6001,20DV,3091295,,1,,,,,368696,,lader,CTTROT,,2300,FCIU 666227 8,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,15012,40HC,3091331,,2,,,,,368696,,lader,CTTROT,,4200,ONEU 014502 1,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,18000,40HC,3091330,,2,,,,,368696,,lader,CTTROT,,4200,FFAU 256603 1,,60,13,False,1600,0.9,False,1
