"SEQ","MOVEDATE","COMPOUNDPOS_FROM","COMPOUNDPOS_TO","UNITNR","LOCATION","SEQ","UNITTYPE","ADDRESS_CLIENT","MOVETYPE"
4123442,2021-02-08 10:07:00,,TRUCK,ABEU 233364 7,CTTROT,1862187,"20TK",$BOSCER,Rotzooi
4123488,2021-02-08 10:23:00,TRUCK,"21.06.1",ABEU 233364 7,CTTROT,1862187,"20TK",$BOSCER,Gate in truck
4123554,2021-02-08 11:06:00,"21.06.1","25.03.1",ABEU 233364 7,CTTROT,1862187,"20TK",$BOSCER,InternalMoveLocations
4124089,2021-02-08 15:50:00,,TRUCK,ABEU 250131 3,CTTROT,1862333,"20TK",$BOSCER,Rotzooi
4124108,2021-02-08 16:01:00,TRUCK,"10.03.1",ABEU 250131 3,CTTROT,1862333,"20TK",$BOSCER,Gate in truck
4124517,2021-02-08 19:07:00,"10.03.1","25.05.2",ABEU 250131 3,CTTROT,1862333,"20TK",$BOSCER,InternalMoveLocations
4121341,2021-02-05 18:19:00,,TIN,ABEU 250141 6,CTTROT,1861748,"20TK",$BOSCER,Rotzooi
4121461,2021-02-05 19:22:00,TIN,,ABEU 250141 6,CTTROT,1861748,"20TK",$BOSCER,Rotzooi
4120558,2021-02-05 13:53:00,"16.05.2",,ABEU 252391 9,CTTROT,1852596,"20TK",$BOSCER,Rotzooi
4123537,2021-02-08 10:56:00,,TRUCK,ABEU 253074 9,CTTROT,1862210,"20TK",$BOSCER,Rotzooi
4123557,2021-02-08 11:07:00,TRUCK,"26.05.2",ABEU 253074 9,CTTROT,1862210,"20TK",$BOSCER,Gate in truck
4116698,2021-02-04 07:39:00,PARKING,,ABEU 253075 4,CTTROT,1831224,"20TK",$BOSCER,Rotzooi
4114467,2021-02-03 07:46:00,"40.05.3","38.05.2",ABEU 253140 5,CTTROT,1858888,"20TK",$BOSCER,InternalMoveLocations
4114504,2021-02-03 07:54:00,"48.11.3",,ABEU 253151 3,CTTROT,1859579,"20TK",$BOSCER,Rotzooi
4118691,2021-02-04 18:06:00,"19.05.2",,ABEU 253186 9,CTTROT,1837680,"20TK",$BOSCER,Rotzooi
4114620,2021-02-03 08:26:00,,TRUCK,ABEU 253198 2,CTTROT,1860026,"20TK",$BOSCER,Rotzooi
4114625,2021-02-03 08:31:00,TRUCK,"11.01.1",ABEU 253198 2,CTTROT,1860026,"20TK",$BOSCER,Gate in truck
4118087,2021-02-04 15:36:00,"11.01.1",TOUT,ABEU 253198 2,CTTROT,1860026,"20TK",$BOSCER,Gate out train
4119048,2021-02-04 20:38:00,TOUT,,ABEU 253198 2,CTTROT,1860026,"20TK",$BOSCER,Rotzooi
4117458,2021-02-04 12:24:00,,TIN,ABEU 253208 4,CTTROT,1860766,"20TK",$BOSCER,Rotzooi
4117719,2021-02-04 13:55:00,TIN,"15.06.2",ABEU 253208 4,CTTROT,1860766,"20TK",$BOSCER,Gate in train
4117834,2021-02-04 14:18:00,"15.06.2","13.06.2",ABEU 253208 4,CTTROT,1860766,"20TK",$BOSCER,InternalMoveLocations
4118196,2021-02-04 16:04:00,"13.06.2","50.11.1",ABEU 253208 4,CTTROT,1860766,"20TK",$BOSCER,InternalMoveLocations
4119251,2021-02-05 07:25:00,"50.11.1",,ABEU 253208 4,CTTROT,1860766,"20TK",$BOSCER,Rotzooi
4120594,2021-02-05 14:01:00,,TRUCK,ABEU 253208 4,CTTROT,1861576,"20TK",$BOSCER,Rotzooi
4120697,2021-02-05 14:43:00,TRUCK,"27.04.1",ABEU 253208 4,CTTROT,1861576,"20TK",$BOSCER,Gate in truck
4120698,2021-02-05 14:43:00,"27.04.1","27.03.1",ABEU 253208 4,CTTROT,1861576,"20TK",$BOSCER,InternalMoveLocations
4122311,2021-02-06 15:22:00,"27.03.1",TOUT,ABEU 253208 4,CTTROT,1861576,"20TK",$BOSCER,Gate out train
4122867,2021-02-07 14:40:00,TOUT,,ABEU 253208 4,CTTROT,1861576,"20TK",$BOSCER,Rotzooi
4122013,2021-02-06 10:31:00,,TIN,ABEU 253212 4,CTTROT,1861889,"20TK",$BOSCER,Rotzooi
4122178,2021-02-06 13:23:00,TIN,"23.05.2",ABEU 253212 4,CTTROT,1861889,"20TK",$BOSCER,Gate in train
4117674,2021-02-04 13:39:00,"25.09.2",,ABEU 260177 6,CTTROT,1854674,"20TK",$BOSCER,Rotzooi
4115903,2021-02-03 16:11:00,"03.10.3","01.10.3",ABEU 260208 9,CTTROT,1858131,"20TK",$BOSCER,InternalMoveLocations
4117553,2021-02-04 12:53:00,"01.10.3",,ABEU 260208 9,CTTROT,1858131,"20TK",$BOSCER,Rotzooi
4121327,2021-02-05 18:18:00,,TIN,ABEU 260412 1,CTTROT,1861734,"20TK",$BOSCER,Rotzooi
4121545,2021-02-05 20:19:00,TIN,"27.07.1",ABEU 260412 1,CTTROT,1861734,"20TK",$BOSCER,Gate in train
4121547,2021-02-05 20:19:00,"27.07.1","26.06.2",ABEU 260412 1,CTTROT,1861734,"20TK",$BOSCER,InternalMoveLocations
4121558,2021-02-05 20:25:00,"26.06.2","47.09.3",ABEU 260412 1,CTTROT,1861734,"20TK",$BOSCER,InternalMoveLocations
4123238,2021-02-08 08:42:00,"47.09.3",,ABEU 260412 1,CTTROT,1861734,"20TK",$BOSCER,Rotzooi
4118403,2021-02-04 16:54:00,,TRUCK,ABEU 260544 7,CTTROT,1861052,"20TK",$BOSCDU,Rotzooi
4118428,2021-02-04 17:00:00,TRUCK,"47.11.1",ABEU 260544 7,CTTROT,1861052,"20TK",$BOSCDU,Gate in truck
4118488,2021-02-04 17:15:00,"47.11.1",BIJGEREDEN,ABEU 260544 7,CTTROT,1861052,"20TK",$BOSCDU,InternalMoveLocations
4118868,2021-02-04 19:08:00,BIJGEREDEN,BOUT,ABEU 260544 7,CTTROT,1861052,"20TK",$BOSCDU,Gate out barge
4118871,2021-02-04 19:09:00,BOUT,,ABEU 260544 7,CTTROT,1861052,"20TK",$BOSCDU,Rotzooi
4115341,2021-02-03 12:31:00,,TRUCK,ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,Rotzooi
4115354,2021-02-03 12:36:00,TRUCK,"45.11.3",ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,Gate in truck
4116691,2021-02-04 07:35:00,"45.11.3","53.06.1",ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,InternalMoveLocations
4116769,2021-02-04 08:08:00,"53.06.1",BIJGEREDEN,ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,InternalMoveLocations
4118870,2021-02-04 19:09:00,BOUT,,ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,Rotzooi
4118869,2021-02-04 19:09:00,BIJGEREDEN,BOUT,ABEU 260642 2,CTTROT,1860274,"20TK",$BOSCDU,Gate out barge
4118443,2021-02-04 17:04:00,,TRUCK,ABEU 260656 7,CTTROT,1861055,"20TK",$BOSCDU,Rotzooi
4118479,2021-02-04 17:12:00,TRUCK,BIJGEREDEN,ABEU 260656 7,CTTROT,1861055,"20TK",$BOSCDU,Rotzooi
4118838,2021-02-04 18:52:00,BIJGEREDEN,BOUT,ABEU 260656 7,CTTROT,1861055,"20TK",$BOSCDU,Gate out barge
4118874,2021-02-04 19:09:00,BOUT,,ABEU 260656 7,CTTROT,1861055,"20TK",$BOSCDU,Rotzooi
4117291,2021-02-04 11:21:00,"32.10.2",,ABEU 260663 3,CTTROT,1854764,"20TK",$BOSCER,Rotzooi
4118816,2021-02-04 18:44:00,"27.09.3","25.09.2",ABEU 260699 4,CTTROT,1855058,"20TK",$BOSCER,InternalMoveLocations
4124551,2021-02-08 20:09:00,"09.05.2","09.03.2",ABEU 260729 1,CTTROT,1850597,"20TK",$BOSCER,InternalMoveLocations
4124625,2021-02-09 06:52:00,"09.03.2","09.05.2",ABEU 260729 1,CTTROT,1850597,"20TK",$BOSCER,InternalMoveLocations
4124883,2021-02-09 09:30:00,"09.05.2","14.05.2",ABEU 260729 1,CTTROT,1850597,"20TK",$BOSCER,InternalMoveLocations
4116950,2021-02-04 08:58:00,,TRUCK,ABEU 261068 0,CTTROT,1860614,"20TK",$BOSCDU,Rotzooi
4116952,2021-02-04 09:00:00,TRUCK,BIJGEREDEN,ABEU 261068 0,CTTROT,1860614,"20TK",$BOSCDU,Rotzooi
4118827,2021-02-04 18:48:00,BIJGEREDEN,BOUT,ABEU 261068 0,CTTROT,1860614,"20TK",$BOSCDU,Gate out barge
4118873,2021-02-04 19:09:00,BOUT,,ABEU 261068 0,CTTROT,1860614,"20TK",$BOSCDU,Rotzooi
4118823,2021-02-04 18:46:00,,TRUCK,ABEU 262790 8,CTTROT,1861126,"20TK",$BOSCER,Rotzooi
4118843,2021-02-04 18:56:00,TRUCK,"42.06.1",ABEU 262790 8,CTTROT,1861126,"20TK",$BOSCER,Gate in truck
4118858,2021-02-04 19:03:00,"42.06.1","35.05.1",ABEU 262790 8,CTTROT,1861126,"20TK",$BOSCER,InternalMoveLocations
4120638,2021-02-05 14:17:00,"35.05.1",,ABEU 262790 8,CTTROT,1861126,"20TK",$BOSCER,Rotzooi
4122008,2021-02-06 10:31:00,,TIN,ABEU 262799 7,CTTROT,1861884,"20TK",$BOSCER,Rotzooi
4122201,2021-02-06 13:56:00,TIN,"28.05.1",ABEU 262799 7,CTTROT,1861884,"20TK",$BOSCER,Gate in train
4121033,2021-02-05 16:11:00,"28.05.1",,ABEU 262816 5,CTTROT,1842808,"20TK",$BOSCER,Rotzooi
4115666,2021-02-03 14:55:00,"37.09.3","38.09.2",ABEU 262830 8,CTTROT,1852447,"20TK",$BOSCER,InternalMoveLocations
4122416,2021-02-06 17:32:00,"11.09.3","09.09.2",ABEU 262836 0,CTTROT,1855726,"20TK",$BOSCER,InternalMoveLocations
4123676,2021-02-08 12:10:00,"09.09.2","05.09.2",ABEU 262836 0,CTTROT,1855726,"20TK",$BOSCER,InternalMoveLocations
4116915,2021-02-04 08:43:00,,TRUCK,ABEU 262853 0,CTTROT,1860603,"20TK",$BOSCDU,Rotzooi
4116936,2021-02-04 08:50:00,TRUCK,BIJGEREDEN,ABEU 262853 0,CTTROT,1860603,"20TK",$BOSCDU,Rotzooi
4118866,2021-02-04 19:08:00,BIJGEREDEN,BOUT,ABEU 262853 0,CTTROT,1860603,"20TK",$BOSCDU,Gate out barge
4118872,2021-02-04 19:09:00,BOUT,,ABEU 262853 0,CTTROT,1860603,"20TK",$BOSCDU,Rotzooi
4118817,2021-02-04 18:44:00,"27.09.2","25.09.3",ABEU 262899 3,CTTROT,1852543,"20TK",$BOSCER,InternalMoveLocations
4121074,2021-02-05 16:25:00,,TRUCK,ABEU 262908 0,CTTROT,1861668,"20TK",$BOSCER,Rotzooi
4121091,2021-02-05 16:33:00,TRUCK,"15.06.2",ABEU 262908 0,CTTROT,1861668,"20TK",$BOSCER,Gate in truck
4121788,2021-02-05 22:56:00,"15.06.2","16.02.1",ABEU 262908 0,CTTROT,1861668,"20TK",$BOSCER,InternalMoveLocations
4117044,2021-02-04 09:45:00,"10.09.1",,ABEU 263246 3,CTTROT,1855482,"20TK",$BOSCER,Rotzooi
4114714,2021-02-03 08:53:00,"05.09.2",,ABEU 263250 3,CTTROT,1857465,"20TK",$BOSCER,Rotzooi
4123419,2021-02-08 09:52:00,,TRUCK,ABEU 263250 3,CTTROT,1862180,"20TK",$BOSCER,Rotzooi
4123434,2021-02-08 10:02:00,TRUCK,"34.05.2",ABEU 263250 3,CTTROT,1862180,"20TK",$BOSCER,Gate in truck
4115215,2021-02-03 11:34:00,"02.09.3","10.09.3",ABEU 263251 9,CTTROT,1858173,"20TK",$BOSCER,InternalMoveLocations
4117027,2021-02-04 09:41:00,"10.09.3","05.09.2",ABEU 263251 9,CTTROT,1858173,"20TK",$BOSCER,InternalMoveLocations
