NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210406POL-B,,,,,,0,20TK,3082383,,1,0,,,,369047,,lader,CTTROT,,4000,HCTU 191025 3,13.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,0,20TK,3082384,,1,0,,,,369047,,lader,CTTROT,,4000,HCTU 191005 8,14.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,0,30TK,3081509,,1.5,0,,,,369047,,lader,CTTROT,,2800,HOYU 775061 0,06.05.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,5450,45PW,3081488,,2.25,5450,,,,369047,,lader,CTTROT,,4400,PVDU 113276 3,13.03.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,5450,45PW,3081489,,2.25,5450,,,,369047,,lader,CTTROT,,4400,SANU 799771 6,37.03.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,5490,45PW,3081490,,2.25,5490,,,,369047,,lader,CTTROT,,4400,CNEU 451900 4,21.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,23778,45PW,3081667,,2.25,23778,,,,369047,,lader,CTTROT,,4400,TCLU 483981 9,37.03.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,23995,20TK,3081454,,1,23995,,,,369047,,lader,CTTROT,,4000,BIDU 492952 8,25.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,24000,20TK,3081756,,1,24100,,,,369047,,lader,CTTROT,,4000,GCAU 795307 0,13.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,24000,20TK,3082376,,1,24120,,,,369047,,lader,CTTROT,,4000,GCAU 788111 3,15.02.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,24000,45PW,3081310,,2.25,,,,,369047,,lader,CTTROT,,4400,CNEU 458670 1,,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25000,20TK,3081432,,1,25000,,,,369047,,lader,CTTROT,,4000,PCVU 260167 0,24.02.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25000,20TK,3082375,,1,24980,,,,369047,,lader,CTTROT,,4000,DHRU 782167 6,46.03.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25000,20TK,3082452,,1,25000,,,,369047,,lader,CTTROT,,4000,PCVU 288010 5,24.03.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25500,20TK,3081425,,1,25020,,,,369047,,lader,CTTROT,,4000,PCVU 260225 4,09.06.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25500,20TK,3081426,,1,25080,,,,369047,,lader,CTTROT,,4000,ATVU 261021 5,12.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25500,20TK,3082411,,1,25000,,,,369047,,lader,CTTROT,,4000,PCVU 260158 2,12.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25920,20DV,3082416,,1,25920,,,,369047,,lader,CTTROT,,2300,TTNU 184931 0,06.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,25980,20DV,3082410,,1,25980,,,,369047,,lader,CTTROT,,2300,ECMU 171873 0,37.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26000,20TK,3081430,,1,26120,,,,369047,,lader,CTTROT,,4000,PCVU 288014 7,32.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081440,,1,26400,,,,369047,,lader,CTTROT,,2300,TRLU 880447 1,24.02.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081441,,1,26000,,,,369047,,lader,CTTROT,,2300,TRLU 392183 4,15.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081442,,1,26100,,,,369047,,lader,CTTROT,,2300,TRLU 905699 1,16.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081443,,1,26100,,,,369047,,lader,CTTROT,,2300,CMAU 065799 9,06.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081444,,1,28240,,,,369047,,lader,CTTROT,,2300,APZU 339577 3,15.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081445,,1,26100,,,,369047,,lader,CTTROT,,2300,CMAU 159225 4,09.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081446,,1,26120,,,,369047,,lader,CTTROT,,2300,BMOU 219491 0,10.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20DV,3081447,,1,26420,,,,369047,,lader,CTTROT,,2300,APZU 391654 7,10.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26100,20TK,3081436,,1,26100,,,,369047,,lader,CTTROT,,4000,PCVU 288034 2,14.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26140,20DV,3082409,,1,26140,,,,369047,,lader,CTTROT,,2300,APZU 396408 3,19.02.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26460,20DV,3082413,,1,28720,,,,369047,,lader,CTTROT,,2300,TCKU 324897 0,19.02.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26460,20DV,3082414,,1,26460,,,,369047,,lader,CTTROT,,2300,TDTU 786631 5,32.01.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26500,20DV,3082415,,1,26020,,,,369047,,lader,CTTROT,,2300,TRLU 919558 0,16.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,26500,20DV,3082417,,1,26500,,,,369047,,lader,CTTROT,,2300,TTNU 197965 3,37.01.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,27000,45PW,3081491,,2.25,27000,,,,369047,,lader,CTTROT,,4400,TLLU 166628 2,13.03.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,,,28000,20TK,3081451,,1,24018,,,,369047,,lader,CTTROT,,4000,BIDU 496314 2,45.03.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1033000,2,20000,30TK,3081649,,1.5,22000,,,,369047,,lader,CTTROT,,2800,WABU 775059 6,30.11.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1247000,3,23980,26TK,3081469,,1.3,23980,,,,369047,,lader,CTTROT,,4800,EXFU 876912 0,12.13.3,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1247000,3,24000,20TK,3082377,,1,23760,,,,369047,,lader,CTTROT,,4000,UTTU 271037 9,12.14.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1247000,3,24000,26TK,3081470,,1.3,23980,,,,369047,,lader,CTTROT,,4800,EXFU 879058 1,12.13.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1247000,3,24000,26TK,3082379,,1.3,24000,,,,369047,,lader,CTTROT,,4800,EXFU 878614 9,12.12.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1268004,3,24000,26TK,3082381,,1.3,23940,,,,369047,,lader,CTTROT,,4800,SAIU 641618 4,12.12.3,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,1547000,6.1,24000,20TK,3081618,,1,23400,,,,369047,,lader,CTTROT,,4000,AAMU 262424 0,23.14.1,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,2055000,3,26000,23TK,3082378,,1.15,25980,,,,369047,,lader,CTTROT,,4800,KRIU 333090 4,12.12.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,2055000,3,26000,24TK,3082380,,1.2,25880,,,,369047,,lader,CTTROT,,4800,GCAU 781784 0,12.13.2,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,,,,2789000,8,24860,20TK,3081437,,1,24860,,,,369047,,lader,CTTROT,,4000,RMTU 263109 0,05.11.4,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,Sggmrss,2,33544975511-5,,,,,,,,,,,,369047,,,,,,,,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,SGGNS,8,33884961427-0,,,,,,,,,,,,369047,,,,,,,,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,SGGNS,11,33884961308-2,,,,,,,,,,,,369047,,,,,,,,10,11,False,1600,0.9,False,1
,,CTTROT20210406POL-B,SGGRSS,18,33884961618-4,,,,,,,,,,,,369047,,,,,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNS,1,33684557674-1,,,,,,,,,20000,60,,369047,60000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNS,7,37804557359-9,,,,,,,,,20000,60,,369047,60000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNS,14,37804557352-4,,,,,,,,,20000,60,,369047,60000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNS,21,37804557210-4,,,,,,,,,20000,60,,369047,60000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNS,24,37804557990-1,,,,,,,,,20000,60,,369047,60000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,Sgns60,6,37804558110-5,,,,,,,,,20000,60,,369047,70000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,Sgns60,9,33684556900-1,,,,,,,,,20000,60,,369047,70000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,Sgns60,12,31804557030-2,,,,,,,,,20000,60,,369047,72000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,Sgns60,20,37804557045-4,,,,,,,,,20000,60,,369047,70000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,Sgns60,23,37804556579-3,,,,,,,,,20000,60,,369047,72000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNSS,5,37804557812-7,,,,,,,,,20000,60,,369047,70000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
4,,CTTROT20210406POL-B,SGNSS,15,37804557127-0,,,,,,,,,20000,60,,369047,70000,,,19.639999389648438,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,SGGMRS,22,33684953311-0,,,,,,,,,29000,90,,369047,94000,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,3,33884962303-2,,,,,,,,,27300,90,,369047,108000,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,10,33884961419-7,,,,,,,,,27300,90,,369047,108000,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,13,33884962393-3,,,,,,,,,27300,90,,369047,108000,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,16,33884962480-8,,,,,,,,,26480,90,,369047,108100,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,17,33884961377-7,,,,,,,,,27300,90,,369047,108000,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,Sggmrss,19,33884962396-6,,,,,,,,,27000,90,,369047,107600,,,29.590000152587891,,,,10,11,False,1600,0.9,False,1
6,,CTTROT20210406POL-B,SGGRSS,4,33884961426-2,,,,,,,,,28300,90,,369047,100700,,,29.600000381469727,,,,10,11,False,1600,0.9,False,1
