NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value
,,CTTROT20210323POL,,,,,,0,20TK,3057888,,1,,,,,368022,,lader,CTTROT,,4000,HCTU 200332 3,,57,11,0,1601
,,CTTROT20210323POL,,,,,,0,20TK,3057889,,1,,,,,368022,,lader,CTTROT,,4000,EXFU 558736 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,0,23TK,3057894,,1.15,0,,,,368022,,lader,CTTROT,,4800,MTNU 330015 3,50.14.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,0,23TK,3057895,,1.15,3800,,,,368022,,lader,CTTROT,,4800,MEBU 331108 5,48.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,0,23TK,3057896,,1.15,3800,,,,368022,,lader,CTTROT,,4800,MEBU 330015 7,50.14.3,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,20TK,3057891,,1,,,,,368022,,lader,CTTROT,,4000,EXFU 231032 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,20TK,3057892,,1,,,,,368022,,lader,CTTROT,,4000,GESU 808401 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,20TK,3057893,,1,,,,,368022,,lader,CTTROT,,4000,WABU 241056 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,26TK,3057898,,1.3,0,,,,368022,,lader,CTTROT,,4800,PCVU 935006 7,48.12.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,485,45PW,3057863,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458707 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,3062,45PW,3057855,,2.25,,,,,368022,,lader,CTTROT,,4400,CLDU 970630 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,3500,45PW,3057870,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 161063 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,4674,40DV,3057848,,2,2374,,,,368022,,lader,CTTROT,,4000,EGHU 387705 9,52.10.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,4966,20DV,3057785,,1,,,,,368022,,lader,CTTROT,,2300,NYKU 382003 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,5140,45PW,3057854,,2.25,,,,,368022,,lader,CTTROT,,4400,TCLU 484098 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,6998,45PW,3057866,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 459377 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,7002,20DV,3057783,,1,,,,,368022,,lader,CTTROT,,2300,TRLU 905946 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,7604,45PW,3057862,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 451760 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,8639,20DV,3057784,,1,,,,,368022,,lader,CTTROT,,2300,NYKU 381329 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,9088,40HC,3057843,,2,9088,,,,368022,,lader,CTTROT,,4200,TLLU 490994 0,TERM,57,11,0,1601
,,CTTROT20210323POL,,,,,,9960,45PW,3057886,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 159723 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,9988,45PW,3057868,,2.25,,,,,368022,,lader,CTTROT,,4400,PVDU 111337 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,10122,45PW,3057856,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 797383 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,10134,40HC,3057842,,2,,,,,368022,,lader,CTTROT,,4200,TRLU 743419 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,11345,40HC,3057835,,2,11345,,,,368022,,lader,CTTROT,,4200,APZU 426717 0,KRAAN,57,11,0,1601
,,CTTROT20210323POL,,,,,,11780,45PW,3057885,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 454225 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,12100,40HC,3057849,,2,,,,,368022,,lader,CTTROT,,4200,TTNU 439138 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,12250,40HC,3057838,,2,,,,,368022,,lader,CTTROT,,4200,SEGU 404813 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,13598,45PW,3057865,,2.25,,,,,368022,,lader,CTTROT,,4400,PVDU 112196 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,14284,45PW,3057884,,2.25,14284,,,,368022,,lader,CTTROT,,4400,PVDU 113072 9,43.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,15260,45PW,3057876,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 458217 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,16351,40HC,3057837,,2,16351,,,,368022,,lader,CTTROT,,4200,GESU 501116 8,45.02.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,16968,40HC,3057839,,2,,,,,368022,,lader,CTTROT,,4200,TCLU 434825 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17300,40HC,3057836,,2,,,,,368022,,lader,CTTROT,,4200,BMOU 639519 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17337,45PW,3057858,,2.25,,,,,368022,,lader,CTTROT,,4400,PVDU 112033 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17337,45PW,3057859,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 753025 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17360,40HC,3057847,,2,17360,,,,368022,,lader,CTTROT,,4200,APHU 717970 1,19.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,17539,40HC,3057841,,2,,,,,368022,,lader,CTTROT,,4200,TLLU 492161 1,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17879,45PW,3057867,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 164198 3,,57,11,0,1601
,,CTTROT20210323POL,,,,,,18000,45PW,3057850,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 797929 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,18372,45PW,3057880,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 454184 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,18920,45PW,3057883,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 799428 1,,57,11,0,1601
,,CTTROT20210323POL,,,,,,19050,40HC,3057840,,2,,,,,368022,,lader,CTTROT,,4200,TLLU 423582 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,19780,45PW,3057869,,2.25,,,,,368022,,lader,CTTROT,,4400,PVDU 113111 3,,57,11,0,1601
,,CTTROT20210323POL,,,,,,20000,22TK,3057811,,1.1,,,,,368022,,lader,CTTROT,,4800,DHIU 064132 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,20007,45PW,3057851,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 752337 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,20460,40HC,3057844,,2,20460,,,,368022,,lader,CTTROT,,4200,FBLU 007025 3,45.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,20460,40HC,3057845,,2,20460,,,,368022,,lader,CTTROT,,4200,OCGU 803659 4,45.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,20460,40HC,3057846,,2,20460,,,,368022,,lader,CTTROT,,4200,EITU 161127 1,45.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,21000,20TK,3057803,,1,,,,,368022,,lader,CTTROT,,4000,NLLU 280168 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,21087,40HC,3057834,,2,21087,,,,368022,,lader,CTTROT,,4200,APZU 483084 9,STOP5,57,11,0,1601
,,CTTROT20210323POL,,,,,,21665,45PW,3057877,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458460 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,22000,20DV,3057787,,1,,,,,368022,,lader,CTTROT,,2300,TKRU 317347 3,,57,11,0,1601
,,CTTROT20210323POL,,,,,,22100,45PW,3057875,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 156316 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,22748,45PW,3057857,,2.25,,,,,368022,,lader,CTTROT,,4400,SANU 799683 3,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,20TK,3057798,,1,,,,,368022,,lader,CTTROT,,4000,DHDU 144114 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,23TK,3057817,,1.15,,,,,368022,,lader,CTTROT,,4800,,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,23TK,3057818,,1.15,,,,,368022,,lader,CTTROT,,4800,,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,45PW,3057852,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 167305 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,45PW,3057853,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 164910 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23001,45PW,3057860,,2.25,,,,,368022,,lader,CTTROT,,4400,PVDU 110590 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23140,30BU,3057830,,1.5,,,,,368022,,lader,CTTROT,,3300,BUKU 466048 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23210,45PW,3057878,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 453230 1,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23384,45PW,3057861,,2.25,,,,,368022,,lader,CTTROT,,4400,LYSU 545484 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23958,45PW,3057864,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 458274 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23980,22TK,3057812,,1.1,,,,,368022,,lader,CTTROT,,4800,DHIU 082962 1,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24000,20TK,3057802,,1,,,,,368022,,lader,CTTROT,,4000,DHIU 184137 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24000,23TK,3057815,,1.15,24060,,,,368022,,lader,CTTROT,,4800,UTTU 242302 3,12.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,24000,45PW,3057871,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458542 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24060,45PW,3057887,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 451528 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057879,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 466019 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057881,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458700 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057882,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458654 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3057873,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 455113 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3057874,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 456087 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24740,45PW,3057872,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 454046 2,,57,11,0,1601
