NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value
,,CTTROT20210310POL-B,,,,,,0,45OS,3028144,,2.25,,,,,367439,,lader,CTTROT,,4500,NFLU 203520 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,0,45OS,3028145,,2.25,,,,,367439,,lader,CTTROT,,4500,NFLU 203523 6,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,0,45OS,3028146,,2.25,,,,,367439,,lader,CTTROT,,4500,NFLU 203513 3,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,5000,45PW,3028137,,2.25,,,,,367439,,lader,CTTROT,,4400,EUCU 454244 4,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,6535,20DV,3028101,,1,,,,,367439,,lader,CTTROT,,2300,KOCU 212449 7,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,10789,45PW,3028138,,2.25,4980,,,,367439,,lader,CTTROT,,4400,EUCU 454015 9,BIJGEREDEN,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,15180,45PW,3028139,,2.25,,,,,367439,,lader,CTTROT,,4400,EUCU 454097 1,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,18640,45PW,3028136,,2.25,,,,,367439,,lader,CTTROT,,4400,PVDU 112514 7,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,20798,45PW,3028297,,2.25,,,,,367439,,lader,CTTROT,,4400,LYSU 545614 3,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,21880,45PW,3028140,,2.25,,,,,367439,,lader,CTTROT,,4400,CNEU 459575 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,22100,45PW,3028135,,2.25,,,,,367439,,lader,CTTROT,,4400,EUCU 460091 5,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,22520,30BU,3028127,,1.5,,,,,367439,,lader,CTTROT,,3300,BUKU 466381 7,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23000,20TK,3028096,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 260099 2,52.09.3,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23000,20TK,3028102,,1,,,,,367439,,lader,CTTROT,,4000,NWBU 990507 6,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23360,26TK,3028123,,1.3,,,,,367439,,lader,CTTROT,,4800,TWSU 730009 2,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23583,45PW,3028293,,2.25,,,,,367439,,lader,CTTROT,,4400,LYSU 545166 6,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23805,45PW,3028290,,2.25,,,,,367439,,lader,CTTROT,,4400,CSFU 452350 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,23860,22TK,3028118,,1.1,,,,,367439,,lader,CTTROT,,4800,DHIU 082949 4,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,20TK,3028216,,1,,,,,367439,,lader,CTTROT,,4000,PCVU 288026 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,20TK,3028217,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 263001 9,47.10.4,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,22TK,3028235,,1.1,,,,,367439,,lader,CTTROT,,4800,ZTKU 730232 1,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,26TK,3028119,,1.3,,,,,367439,,lader,CTTROT,,4800,INGU 735136 5,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,26TK,3028121,,1.3,24450,,,,367439,,lader,CTTROT,,4800,ATRU 350000 3,48.05.2,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,45PW,3028141,,2.25,,,,,367439,,lader,CTTROT,,4400,EUCU 455002 8,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24000,45PW,3028142,,2.25,,,,,367439,,lader,CTTROT,,4400,EUCU 466114 5,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24140,26TK,3028122,,1.3,,,,,367439,,lader,CTTROT,,4800,TWSU 271862 3,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24240,30BU,3028128,,1.5,,,,,367439,,lader,CTTROT,,3300,BUKU 464918 8,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,24660,30BU,3028132,,1.5,,,,,367439,,lader,CTTROT,,3300,BUKU 464826 3,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,25000,20TK,3028095,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 260208 5,49.10.2,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,25000,20TK,3028103,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 261002 8,50.09.1,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,25000,20TK,3028105,,1,,,,,367439,,lader,CTTROT,,4000,PCVU 260127 9,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,25040,30BU,3028126,,1.5,,,,,367439,,lader,CTTROT,,3300,BUKU 464139 8,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,25500,20TK,3028097,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 260183 3,50.11.2,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,26000,20TK,3028098,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 260130 3,52.09.1,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,26000,20TK,3028100,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 260137 1,51.10.3,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,26060,26TK,3028124,,1.3,,,,,367439,,lader,CTTROT,,4800,SEGU 809194 2,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27000,20TK,3028099,,1,0,,,,367439,,lader,CTTROT,,4000,PCVU 288007 0,38.11.1,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27000,30BU,3028129,,1.5,,,,,367439,,lader,CTTROT,,3300,NOBU 137311 3,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27000,30BU,3028130,,1.5,,,,,367439,,lader,CTTROT,,3300,CLIU 300170 5,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27000,30BU,3028131,,1.5,,,,,367439,,lader,CTTROT,,3300,BUKU 464128 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27700,26TK,3029446,,1.3,,,,,367439,,lader,CTTROT,,4800,PAWU 310014 0,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27930,22TK,3028378,,1.1,,,,,367439,,lader,CTTROT,,4800,PAWU 310004 8,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,27980,22TK,3028116,,1.1,,,,,367439,,lader,CTTROT,,4800,PAWU 310015 6,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,28000,20TK,3028104,,1,,,,,367439,,lader,CTTROT,,4000,BIDU 497639 2,,57,11,0,1404
,,CTTROT20210310POL-B,,,,,,28000,26TK,3028240,,1.3,,,,,367439,,lader,CTTROT,,4800,COUU 810204 9,,57,11,0,1404
,,CTTROT20210310POL-B,,,,1263003,3,25000,22TK,3028117,,1.1,22000,,,,367439,,lader,CTTROT,,4800,TWSU 271867 0,07.15.1,57,11,0,1404
,,CTTROT20210310POL-B,,,,1750000,6.1,1,20TK,3028143,,1,28040,,,,367439,,lader,CTTROT,,4000,WABU 241054 6,24.15.2,57,11,0,1404
,,CTTROT20210310POL-B,,,,2789000,8,25160,26TK,3028125,,1.3,1,,,,367439,,lader,CTTROT,,4800,RCLU 535490 8,16.17.2,57,11,0,1404
,,CTTROT20210310POL-B,SGGMRS,19,33884961513-7,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,1,33884961494-0,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,7,33884961026-0,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,18,33884962474-1,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,20,33884961503-8,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,21,33884962538-3,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGGNS,22,33884962447-7,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGMMNS,15,37804556319-4,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
,,CTTROT20210310POL-B,SGNS,4,37804557221-1,,,,,,,,,,,,367439,,,,,,,,57,11,0,1404
4,,CTTROT20210310POL-B,SGNS,10,37804557360-7,,,,,,,,,20000,60,,367439,60000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,SGNS,11,31804557013-8,,,,,,,,,20000,60,,367439,60000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,Sgns60,8,37804556634-6,,,,,,,,,20000,60,,367439,70000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,Sgns60,9,37804556661-9,,,,,,,,,20000,60,,367439,70000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,Sgns60,14,31804557149-0,,,,,,,,,20000,60,,367439,72000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,Sgns60,16,37804557411-8,,,,,,,,,20000,60,,367439,72000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,SGNSS,3,37804557037-1,,,,,,,,,20000,60,,367439,70000,,,19.639999389648438,,,,57,11,0,1404
4,,CTTROT20210310POL-B,SGNSS,23,37804557047-0,,,,,,,,,20000,60,,367439,70000,,,19.639999389648438,,,,57,11,0,1404
6,,CTTROT20210310POL-B,SGGMRS,2,33684952015-8,,,,,,,,,29000,90,,367439,100000,,,29.590000152587891,,,,57,11,0,1404
6,,CTTROT20210310POL-B,Sggmrs90,13,33684954446-3,,,,,,,,,29000,90,,367439,94000,,,29.590000152587891,,,,57,11,0,1404
6,,CTTROT20210310POL-B,Sggmrss,6,33884961156-5,,,,,,,,,27200,90,,367439,107800,,,29.590000152587891,,,,57,11,0,1404
6,,CTTROT20210310POL-B,Sggmrss,12,33884962433-7,,,,,,,,,26920,90,,367439,107600,,,29.590000152587891,,,,57,11,0,1404
6,,CTTROT20210310POL-B,Sggmrss,17,33884961024-5,,,,,,,,,27300,90,,367439,108000,,,29.590000152587891,,,,57,11,0,1404
6,,CTTROT20210310POL-B,SGGRS,5,37804950452-5,,,,,,,,,28000,80,,367439,92000,,,26.700000762939453,,,,57,11,0,1404
