NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS
,,CTTROT20210316POL-C,,,,,,,,3040002,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040031,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040079,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040080,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040081,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040082,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040083,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040084,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040086,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040087,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040088,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040089,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040090,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040092,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040096,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040105,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040106,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040107,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040108,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040109,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040110,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040179,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040180,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040183,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040196,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040198,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040254,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040255,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040256,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040257,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040258,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040259,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040377,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040585,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040586,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040922,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040923,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040924,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3040925,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3041426,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3041427,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,,,3041428,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,,,,,,0,45PW,3040254,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 164938 8,17.01.1
,,CTTROT20210316POL-C,,,,,,0,45PW,3040255,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 165639 2,25.02.2
,,CTTROT20210316POL-C,,,,,,0,45PW,3040256,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 166110 4,21.01.1
,,CTTROT20210316POL-C,,,,,,0,45PW,3040257,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 158622 7,25.02.1
,,CTTROT20210316POL-C,,,,,,0,45PW,3040258,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 158601 6,17.01.2
,,CTTROT20210316POL-C,,,,,,0,45PW,3040259,,2.25,0,,,,367592,,lader,CTTROT,,4400,TLLU 158603 7,13.01.1
,,CTTROT20210316POL-C,,,,,,1,22TK,3040108,,1.1,3800,,,,367592,,lader,CTTROT,,4800,TKCU 135014 4,47.06.3
,,CTTROT20210316POL-C,,,,,,1,22TK,3040922,,1.1,3800,,,,367592,,lader,CTTROT,,4800,MCMU 735087 6,47.07.2
,,CTTROT20210316POL-C,,,,,,1,22TK,3040923,,1.1,3800,,,,367592,,lader,CTTROT,,4800,HILU 331015 7,47.06.2
,,CTTROT20210316POL-C,,,,,,1,23TK,3040109,,1.15,3800,,,,367592,,lader,CTTROT,,4800,MCMU 735056 2,49.14.1
,,CTTROT20210316POL-C,,,,,,1,23TK,3040110,,1.15,3800,,,,367592,,lader,CTTROT,,4800,MEBU 330049 7,47.07.1
,,CTTROT20210316POL-C,,,,,,1,23TK,3040924,,1.15,3800,,,,367592,,lader,CTTROT,,4800,MCMU 735068 6,50.12.1
,,CTTROT20210316POL-C,,,,,,1,23TK,3040925,,1.15,3800,,,,367592,,lader,CTTROT,,4800,MEBU 331067 0,41.01.2
,,CTTROT20210316POL-C,,,,,,2964,45PW,3040106,,2.25,2964,,,,367592,,lader,CTTROT,,4400,CNEU 453016 9,13.01.2
,,CTTROT20210316POL-C,,,,,,3354,45PW,3040105,,2.25,3354,,,,367592,,lader,CTTROT,,4400,SANU 751713 9,45.07.1
,,CTTROT20210316POL-C,,,,,,4352,45PW,3040107,,2.25,4352,,,,367592,,lader,CTTROT,,4400,SANU 799934 4,37.01.1
,,CTTROT20210316POL-C,,,,,,5073,20DV,3040080,,1,5073,,,,367592,,lader,CTTROT,,2300,CPWU 229894 0,24.01.1
,,CTTROT20210316POL-C,,,,,,7549,40HC,3040089,,2,7549,,,,367592,,lader,CTTROT,,4200,CMAU 909627 1,37.02.1
,,CTTROT20210316POL-C,,,,,,9513,40HC,3040090,,2,9513,,,,367592,,lader,CTTROT,,4200,GESU 695206 0,23.02.2
