NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight,WeightPerc,HideUnplacedContainers,LengthPerc
,,CTTROT20210330POL,,,,,,0,22TK,3074073,,1.1,0,,,,368303,,lader,CTTROT,,4800,HILU 331015 7,46.03.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,0,23TK,3074074,,1.15,0,,,,368303,,lader,CTTROT,,4800,MEBU 331044 8,46.02.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,0,23TK,3074075,,1.15,0,,,,368303,,lader,CTTROT,,4800,MEBU 330039 4,46.02.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,5720,45PW,3074062,,2.25,5720,,,,368303,,lader,CTTROT,,4400,EUCU 458061 3,33.06.3,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,10882,40HC,3074060,,2,,,,,368303,,lader,CTTROT,,4200,SEGU 452393 0,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,17371,40HC,3074059,,2,17371,,,,368303,,lader,CTTROT,,4200,TCNU 258414 6,23.02.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,20000,20DV,3074142,,1,20000,,,,368303,,lader,CTTROT,,2300,MRKU 707896 1,39.06.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,20220,20TK,3074032,,1,20220,,,,368303,,lader,CTTROT,,4000,EXFU 553452 3,29.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,22660,20DV,3074040,,1,22600,,,,368303,,lader,CTTROT,,2300,BSIU 298510 9,11.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,22748,45PW,3074066,,2.25,,,,,368303,,lader,CTTROT,,4400,CNEU 457756 7,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23620,45PW,3074061,,2.25,23620,,,,368303,,lader,CTTROT,,4400,CNEU 458504 8,33.06.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23632,45PW,3074064,,2.25,23632,,,,368303,,lader,CTTROT,,4400,CNEU 459496 5,33.06.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23685,45PW,3074068,,2.25,,,,,368303,,lader,CTTROT,,4400,PVDU 113298 0,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23685,45PW,3074069,,2.25,,,,,368303,,lader,CTTROT,,4400,CNEU 459440 9,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23848,45PW,3074063,,2.25,23848,,,,368303,,lader,CTTROT,,4400,EUCU 455164 1,09.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24000,20TK,3074133,,1,23500,,,,368303,,lader,CTTROT,,4000,PCVU 288001 8,11.02.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24042,22TK,3074159,,1.1,23760,,,,368303,,lader,CTTROT,,4800,EURU 861002 0,06.02.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24370,30BU,3074054,,1.5,25240,,,,368303,,lader,CTTROT,,3300,UBBU 116095 2,24.01.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24747,45OS,3074070,,2.25,,,,,368303,,lader,CTTROT,,4500,LYSU 545288 9,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,24800,30BU,3074052,,1.5,,,,,368303,,lader,CTTROT,,3300,BUKU 460568 3,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,20TK,3074029,,1,,,,,368303,,lader,CTTROT,,4000,FOTU 742661 2,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,22TK,3074154,,1.1,25000,,,,368303,,lader,CTTROT,,4800,DHIU 044118 0,06.04.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,26TK,3074044,,1.3,,,,,368303,,lader,CTTROT,,4800,FOTU 843310 7,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25000,30BU,3074056,,1.5,25000,,,,368303,,lader,CTTROT,,3300,UBBU 655002 2,24.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25020,30BU,3074057,,1.5,25020,,,,368303,,lader,CTTROT,,3300,DHBU 318476 8,26.01.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25240,30BU,3074053,,1.5,25240,,,,368303,,lader,CTTROT,,3300,UBBU 226139 8,26.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25480,30BU,3074055,,1.5,,,,,368303,,lader,CTTROT,,3300,DHBU 317144 1,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26000,20TK,3074136,,1,25750,,,,368303,,lader,CTTROT,,4000,PCVU 288013 1,32.01.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26000,26TK,3074284,,1.3,26000,,,,368303,,lader,CTTROT,,4800,EXFU 878908 7,37.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26060,20DV,3074035,,1,26060,,,,368303,,lader,CTTROT,,2300,TCLU 143820 0,39.06.3,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3074036,,1,,,,,368303,,lader,CTTROT,,2300,IKSU 266413 5,,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3074144,,1,28765,,,,368303,,lader,CTTROT,,2300,CAXU 320046 0,11.02.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,27000,26TK,3074166,,1.3,24500,,,,368303,,lader,CTTROT,,4800,ATRU 310003 3,06.03.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,27920,30BU,3074058,,1.5,28000,,,,368303,,lader,CTTROT,,3300,ABEU 590098 1,50.04.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,20TK,3074031,,1,27992,,,,368303,,lader,CTTROT,,4000,BIDU 491290 5,23.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,20TK,3074139,,1,27999,,,,368303,,lader,CTTROT,,4000,BIDU 496305 5,32.01.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,26TK,3074043,,1.3,27780,,,,368303,,lader,CTTROT,,4800,KRIU 226043 8,23.01.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,26TK,3074046,,1.3,28480,,,,368303,,lader,CTTROT,,4800,PAWU 350002 3,46.03.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28240,22TK,3074041,,1.1,28240,,,,368303,,lader,CTTROT,,4800,PAWU 310007 4,47.04.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,29000,24TK,3074728,,1.2,25000,,,,368303,,lader,CTTROT,,4800,ABEU 342942 4,06.02.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1173000,3,26000,26TK,3074171,,1.3,26040,,,,368303,,lader,CTTROT,,4800,BTLU 350333 7,13.13.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1247000,3,24000,26TK,3074047,,1.3,24000,,,,368303,,lader,CTTROT,,4800,DHIU 194674 6,12.13.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1247000,3,24040,22TK,3074156,,1.1,23980,,,,368303,,lader,CTTROT,,4800,DHIU 116829 6,13.13.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1268004,3,24000,26TK,3074051,,1.3,24000,,,,368303,,lader,CTTROT,,4800,TWSU 971059 0,12.13.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1715000,8,27000,20TK,3074027,,1,27000,,,,368303,,lader,CTTROT,,4000,PCCU 272001 3,04.11.3,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1750000,6.1,1,20TK,3074071,,1,1,,,,368303,,lader,CTTROT,,4000,GESU 810799 9,19.06.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,2078000,6.1,26050,20TK,3074030,,1,26050,,,,368303,,lader,CTTROT,,4000,EXFU 241155 1,23.15.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,23670,20TK,3074497,,1,23670,,,,368303,,lader,CTTROT,,4000,VTGU 196138 6,24.11.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,27000,26TK,3074048,,1.3,27000,,,,368303,,lader,CTTROT,,4800,PCVU 935011 2,18.10.2,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,27000,26TK,3074049,,1.3,27000,,,,368303,,lader,CTTROT,,4800,PCCU 352601 8,18.10.1,13,11,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,27000,26TK,3074163,,1.3,27000,,,,368303,,lader,CTTROT,,4800,PCCU 352602 3,20.10.3,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,4,31804557021-1,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,5,33684556915-9,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,6,33684556912-6,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,17,31804557059-1,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,19,37804557797-0,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,22,31804557008-8,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,10,37804557179-1,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,13,37804557052-0,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,14,37804558116-2,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,15,37804557165-0,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,13,11,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,18,33684556890-4,,,,,,,,,22000,60,,368303,72000,,,19.899999618530273,,,,13,11,False,1600,0.674,False,0.547
