NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210408POL,,,,,,2635,45PW,3092578,,2.25,2635,,,,368696,,lader,CTTROT,,4400,CLDU 963099 1,39.06.3,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,3932,45PW,3092577,,2.25,3932,,,,368696,,lader,CTTROT,,4400,CLDU 961650 3,37.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,4000,45PW,3092581,,2.25,,,,,368696,,lader,CTTROT,,4400,TLLU 160883 5,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,4821,40HC,3092834,,2,4821,,,,368696,,lader,CTTROT,,4200,TCNU 732885 1,29.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,4825,40HC,3092829,,2,4825,,,,368696,,lader,CTTROT,,4200,MSDU 730598 0,39.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5280,45PW,3092579,,2.25,5280,,,,368696,,lader,CTTROT,,4400,CNEU 459486 2,17.03.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5646,40HC,3092830,,2,5646,,,,368696,,lader,CTTROT,,4200,GESU 659885 1,27.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5646,40HC,3092832,,2,5646,,,,368696,,lader,CTTROT,,4200,MEDU 938441 9,39.02.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5747,40HC,3092835,,2,5747,,,,368696,,lader,CTTROT,,4200,TCNU 892198 5,45.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,5892,40HC,3092831,,2,5892,,,,368696,,lader,CTTROT,,4200,MEDU 759973 7,45.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,6001,20DV,3092547,,1,,,,,368696,,lader,CTTROT,,2300,FCIU 666227 8,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,6310,40HC,3092833,,2,6310,,,,368696,,lader,CTTROT,,4200,TCLU 910215 1,45.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,9480,45PW,3092844,,2.25,9480,,,,368696,,lader,CTTROT,,4400,SANU 750270 9,25.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,10150,40HC,3092836,,2,10150,,,,368696,,lader,CTTROT,,4200,OOCU 703698 4,27.02.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,15012,40HC,3092575,,2,,,,,368696,,lader,CTTROT,,4200,ONEU 014502 1,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,22748,45PW,3092837,,2.25,22748,,,,368696,,lader,CTTROT,,4400,CNEU 454197 0,25.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,22800,30BU,3092816,,1.5,22800,,,,368696,,lader,CTTROT,,3300,BUKU 468084 0,46.03.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,22880,20DV,3092561,,1,,,,,368696,,lader,CTTROT,,2300,ICUU 313118 0,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,23275,45PW,3092576,,2.25,23275,,,,368696,,lader,CTTROT,,4400,TLLU 167770 7,37.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,23800,20TK,3092550,,1,23800,,,,368696,,lader,CTTROT,,4000,UTTU 242305 0,08.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,23900,20TK,3092757,,1,23900,,,,368696,,lader,CTTROT,,4000,PCVU 288003 9,32.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24000,20TK,3092771,,1,24280,,,,368696,,lader,CTTROT,,4000,BLKU 253247 3,12.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24000,45PW,3092586,,2.25,24000,,,,368696,,lader,CTTROT,,4400,CLDU 970494 4,13.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24037,20TK,3092549,,1,24037,,,,368696,,lader,CTTROT,,4000,BIDU 496504 2,08.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24480,45PW,3092583,,2.25,24480,,,,368696,,lader,CTTROT,,4400,EUCU 460045 3,17.03.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24480,45PW,3092584,,2.25,,,,,368696,,lader,CTTROT,,4400,CNEU 459406 0,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24480,45PW,3092587,,2.25,,,,,368696,,lader,CTTROT,,4400,EUCU 454138 7,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24480,45PW,3092588,,2.25,,,,,368696,,lader,CTTROT,,4400,EUCU 453071 5,,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24500,20TK,3092787,,1,24500,,,,368696,,lader,CTTROT,,4000,FOTU 842841 4,32.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,24780,20TK,3092760,,1,24780,,,,368696,,lader,CTTROT,,4000,PCVU 260137 1,08.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25000,20TK,3092557,,1,25000,,,,368696,,lader,CTTROT,,4000,ATRU 240000 0,19.02.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25000,22TK,3092563,,1.1,25000,,,,368696,,lader,CTTROT,,4800,FOTU 222745 4,04.03.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26000,20TK,3092548,,1,26000,,,,368696,,lader,CTTROT,,4000,FOTU 946900 1,11.02.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26020,20DV,3092554,,1,26020,,,,368696,,lader,CTTROT,,2300,CAXU 317475 6,33.01.2,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26040,20DV,3092555,,1,26040,,,,368696,,lader,CTTROT,,2300,CAIU 247989 3,33.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26060,20DV,3092556,,1,26060,,,,368696,,lader,CTTROT,,2300,TRLU 373416 0,24.01.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3092782,,1,28100,,,,368696,,lader,CTTROT,,2300,CAIU 245684 0,43.03.1,100,12,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26120,20DV,3092552,,1,26120,,,,368696,,lader,CTTROT,,2300,CAIU 207136 6,08.02.2,100,12,False,1600,0.9,False,1
