NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS
,,CTTROT20210313POL-B,,,,,,,,3037124,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037125,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037127,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037128,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037129,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037130,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037131,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037132,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037133,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037134,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037135,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037136,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037137,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037138,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037139,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037140,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037141,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037142,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037143,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037144,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037145,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037146,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037147,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037150,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037151,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037152,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037153,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037154,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037155,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037156,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037157,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037158,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037159,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037160,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037161,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037162,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037164,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037165,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037166,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037167,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037168,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037169,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037170,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037171,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037172,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037173,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037174,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037175,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037176,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037177,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037178,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037179,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037180,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037243,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037265,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037333,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037351,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037353,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,,,3037356,,,,,,,367552,,,,,,,
,,CTTROT20210313POL-B,,,,,,0,20TK,3037178,,1,,,,,367552,,lader,CTTROT,,4000,MTNU 126133 5,
,,CTTROT20210313POL-B,,,,,,0,30TK,3037180,,1.5,,,,,367552,,lader,CTTROT,,2800,EURU 405299 6,
,,CTTROT20210313POL-B,,,,,,1,20TK,3037179,,1,,,,,367552,,lader,CTTROT,,4000,HOYU 962170 9,
,,CTTROT20210313POL-B,,,,,,3844,40HC,3037175,,2,,,,,367552,,lader,CTTROT,,4200,TGHU 857827 1,
,,CTTROT20210313POL-B,,,,,,5470,20DV,3037142,,1,,,,,367552,,lader,CTTROT,,2300,APZU 369950 2,
,,CTTROT20210313POL-B,,,,,,5700,20DV,3037243,,1,,,,,367552,,lader,CTTROT,,2300,FCIU 446212 0,
,,CTTROT20210313POL-B,,,,,,6347,20DV,3037124,,1,,,,,367552,,lader,CTTROT,,2300,APZU 356204 2,
,,CTTROT20210313POL-B,,,,,,9266,40HC,3037171,,2,,,,,367552,,lader,CTTROT,,4200,GESU 642745 8,
,,CTTROT20210313POL-B,,,,,,10000,20TK,3037139,,1,,,,,367552,,lader,CTTROT,,4000,BGBU 504706 1,
,,CTTROT20210313POL-B,,,,,,11473,40HC,3037174,,2,,,,,367552,,lader,CTTROT,,4200,TGBU 490669 0,
,,CTTROT20210313POL-B,,,,,,14887,40HC,3037172,,2,,,,,367552,,lader,CTTROT,,4200,TCNU 118291 8,
,,CTTROT20210313POL-B,,,,,,16852,20DV,3037132,,1,,,,,367552,,lader,CTTROT,,2300,TKRU 325656 2,
,,CTTROT20210313POL-B,,,,,,16884,20DV,3037135,,1,,,,,367552,,lader,CTTROT,,2300,WEDU 100704 4,
,,CTTROT20210313POL-B,,,,,,16884,20DV,3037136,,1,,,,,367552,,lader,CTTROT,,2300,WEDU 243552 0,
,,CTTROT20210313POL-B,,,,,,19000,40HC,3037173,,2,,,,,367552,,lader,CTTROT,,4200,DFSU 677527 8,
,,CTTROT20210313POL-B,,,,,,20000,26TK,3037169,,1.3,,,,,367552,,lader,CTTROT,,4800,VODU 933849 6,
,,CTTROT20210313POL-B,,,,,,20440,20TK,3037145,,1,,,,,367552,,lader,CTTROT,,4000,ABEU 263034 7,
,,CTTROT20210313POL-B,,,,,,21669,45PW,3037177,,2.25,,,,,367552,,lader,CTTROT,,4400,BGFU 972534 6,
,,CTTROT20210313POL-B,,,,,,22000,20DV,3037351,,1,,,,,367552,,lader,CTTROT,,2300,CMAU 005903 0,
