NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value,WeightPerc Threshold Value,HideUnplacedContainers Value,LengthPerc Threshold Value
,,CTTROT20210330POL,,,,,,0,22TK,3073010,,1.1,0,,,,368303,,lader,CTTROT,,4800,HILU 331015 7,46.03.1,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,0,23TK,3073011,,1.15,0,,,,368303,,lader,CTTROT,,4800,MEBU 331044 8,46.02.1,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,0,23TK,3073012,,1.15,0,,,,368303,,lader,CTTROT,,4800,MEBU 330039 4,46.02.2,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,0,26TK,3073014,,1.3,,,,,368303,,lader,CTTROT,,4800,TWSU 271716 5,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,1,20TK,3073008,,1,,,,,368303,,lader,CTTROT,,4000,HOYU 241940 3,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,1,20TK,3073009,,1,,,,,368303,,lader,CTTROT,,4000,EXFU 071423 0,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,1,26TK,3073013,,1.3,,,,,368303,,lader,CTTROT,,4800,CYMA 111203 0,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,5720,45PW,3072998,,2.25,5720,,,,368303,,lader,CTTROT,,4400,EUCU 458061 3,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,10097,40HC,3072995,,2,,,,,368303,,lader,CTTROT,,4200,TCNU 763981 1,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,10882,40HC,3072996,,2,,,,,368303,,lader,CTTROT,,4200,SEGU 452393 0,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,18920,45PW,3073003,,2.25,,,,,368303,,lader,CTTROT,,4400,CNEU 451822 4,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,20220,20TK,3072968,,1,,,,,368303,,lader,CTTROT,,4000,EXFU 553452 3,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,20460,40HC,3072994,,2,,,,,368303,,lader,CTTROT,,4200,EITU 148446 0,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,21000,26TK,3072981,,1.3,,,,,368303,,lader,CTTROT,,4800,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,22660,20DV,3072976,,1,22600,,,,368303,,lader,CTTROT,,2300,BSIU 298510 9,11.01.1,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,22748,45PW,3073002,,2.25,,,,,368303,,lader,CTTROT,,4400,CNEU 457756 7,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23620,45PW,3072997,,2.25,23620,,,,368303,,lader,CTTROT,,4400,CNEU 458504 8,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23632,45PW,3073000,,2.25,23632,,,,368303,,lader,CTTROT,,4400,CNEU 459496 5,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,23685,45PW,3073004,,2.25,,,,,368303,,lader,CTTROT,,4400,CNEU 459440 9,,142,7,False,1600,0.674,False,0.547
