NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY,TravelDistance Value,Train Split Value,Reversed Value
,,CTTROT20210210BASEL,PCC-RGS,3,33854552178-7,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,PCC-SGNS,1,33854552197-7,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGMRS,2,33524960072-7,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGMRS,20,37804961409-2,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRS,18,37804960550-4,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,4,37844960724-1,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,5,37844960722-5,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,6,37844960716-7,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,7,37844960717-5,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,8,37844960720-9,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,9,37844960718-3,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,10,37844960713-4,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,11,37844960715-9,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,12,37844960721-7,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,14,37844960714-2,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,15,37844960719-1,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,16,37844960729-0,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,17,37844960726-6,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGGRSS,19,37804960524-9,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGNS,21,33884552903-5,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGNSS,22,33884552952-2,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210BASEL,SGNSS,23,33884552949-8,,,,,,,,,,,,366155,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGGMRS104S90,6,33884962528-4,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,Sggmrss,12,33884961375-1,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGGOS,4,37804563192-6,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,1,37804563118-1,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,2,37804563019-1,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,3,31804563222-7,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,5,31804563151-8,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,10,37804563133-0,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,11,37804563026-6,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,16,37804563012-6,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,18,37804563010-0,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SGNSS,21,37804563108-2,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210MORTARA,SSFFGGMRRSS,9,33874908369-1,,,,,,,,,,,,367860,,,,,,,,,,221,11,1
,,CTTROT20210210POL,,,,,,,,2944344,,,,,,,366266,,,,,,,,HLBU 230397 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944345,,,,,,,366266,,,,,,,,HLBU 275505 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944376,,,,,,,366266,,,,,,,,HLXU 637711 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944736,,,,,,,366266,,,,,,,,PCVU 288031 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944743,,,,,,,366266,,,,,,,,PCVU 260353 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944794,,,,,,,366266,,,,,,,,TLLU 165014 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944796,,,,,,,366266,,,,,,,,SANU 752958 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944799,,,,,,,366266,,,,,,,,TLLU 164910 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2944805,,,,,,,366266,,,,,,,,EUCU 451790 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945059,,,,,,,366266,,,,,,,,PCVU 288030 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945060,,,,,,,366266,,,,,,,,PCVU 260165 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945061,,,,,,,366266,,,,,,,,PCVU 288007 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945062,,,,,,,366266,,,,,,,,PCVU 288038 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945063,,,,,,,366266,,,,,,,,TKRU 331508 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945064,,,,,,,366266,,,,,,,,TKRU 306403 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945065,,,,,,,366266,,,,,,,,ABEU 252369 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945069,,,,,,,366266,,,,,,,,GCAU 795003 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945070,,,,,,,366266,,,,,,,,ICUU 214140 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945071,,,,,,,366266,,,,,,,,ICUU 214319 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945072,,,,,,,366266,,,,,,,,TDTU 132038 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945073,,,,,,,366266,,,,,,,,TDTU 405132 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945075,,,,,,,366266,,,,,,,,TCLU 071905 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945077,,,,,,,366266,,,,,,,,TCLU 193375 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945079,,,,,,,366266,,,,,,,,TTNU 152487 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945081,,,,,,,366266,,,,,,,,TDTU 171088 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945083,,,,,,,366266,,,,,,,,TCKU 329054 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945086,,,,,,,366266,,,,,,,,PCVU 310087 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945087,,,,,,,366266,,,,,,,,TWSU 271862 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945088,,,,,,,366266,,,,,,,,EXFU 878921 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945089,,,,,,,366266,,,,,,,,RTMU 351001 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945090,,,,,,,366266,,,,,,,,ABEU 350009 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945092,,,,,,,366266,,,,,,,,PCVU 350017 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945094,,,,,,,366266,,,,,,,,TANU 351115 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945096,,,,,,,366266,,,,,,,,PCCU 352602 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945098,,,,,,,366266,,,,,,,,EXFU 879786 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945100,,,,,,,366266,,,,,,,,HUKU 311440 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945102,,,,,,,366266,,,,,,,,ABEU 590011 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945104,,,,,,,366266,,,,,,,,DHBU 317212 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945108,,,,,,,366266,,,,,,,,SANU 799044 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945115,,,,,,,366266,,,,,,,,CNEU 459485 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945122,,,,,,,366266,,,,,,,,NFLU 203485 7,1,221,11,1
