NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210406POL,,,,,,0,26TK,3087370,,1.3,0,,,,368642,,lader,CTTROT,,4800,TWSU 271400 0,04.02.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,2534,45PW,3087368,,2.25,2534,,,,368642,,lader,CTTROT,,4400,CLDU 962288 8,29.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,2666,45PW,3087367,,2.25,,,,,368642,,lader,CTTROT,,4400,CLDU 971584 6,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,5280,45PW,3087364,,2.25,,,,,368642,,lader,CTTROT,,4400,PVDU 113701 9,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,7324,40HC,3087350,,2,,,,,368642,,lader,CTTROT,,4200,DRYU 426959 9,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,10449,45PW,3087357,,2.25,,,,,368642,,lader,CTTROT,,4400,PVDU 111614 5,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,12050,40DV,3087351,,2,,,,,368642,,lader,CTTROT,,4000,KKFU 181732 8,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,16000,45PW,3087358,,2.25,,,,,368642,,lader,CTTROT,,4400,SANU 798963 9,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,18000,45PW,3087361,,2.25,,,,,368642,,lader,CTTROT,,4400,TCLU 481269 6,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,18301,40HC,3087349,,2,,,,,368642,,lader,CTTROT,,4200,CXDU 108487 7,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,18920,45PW,3087352,,2.25,,,,,368642,,lader,CTTROT,,4400,CNEU 451822 4,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,19000,20DV,3087597,,1,19000,,,,368642,,lader,CTTROT,,2300,HLXU 134474 3,35.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,19000,20DV,3087598,,1,19000,,,,368642,,lader,CTTROT,,2300,HLXU 101557 9,34.01.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,19000,20DV,3087599,,1,19000,,,,368642,,lader,CTTROT,,2300,HLXU 117626 0,35.01.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,19000,20DV,3087600,,1,19000,,,,368642,,lader,CTTROT,,2300,HLXU 124661 8,34.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,20000,20TK,3087329,,1,,,,,368642,,lader,CTTROT,,4000,ABEU 260403 4,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,23302,45PW,3087359,,2.25,,,,,368642,,lader,CTTROT,,4400,SANU 798073 4,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,23754,45PW,3087360,,2.25,,,,,368642,,lader,CTTROT,,4400,TLLU 164496 1,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,23857,45PW,3087353,,2.25,,,,,368642,,lader,CTTROT,,4400,EUCU 458253 4,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24000,20TK,3087326,,1,,,,,368642,,lader,CTTROT,,4000,BLKU 253247 3,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24000,23TK,3087616,,1.15,24000,,,,368642,,lader,CTTROT,,4800,DHIU 034104 6,37.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24000,45PW,3087356,,2.25,,,,,368642,,lader,CTTROT,,4400,SANU 752033 8,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24000,45PW,3087363,,2.25,,,,,368642,,lader,CTTROT,,4400,CNEU 458670 1,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24040,22TK,3087334,,1.1,,,,,368642,,lader,CTTROT,,4800,DHIU 062115 5,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24050,20TK,3087327,,1,,,,,368642,,lader,CTTROT,,4000,BTLU 269019 3,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,24180,30BU,3087347,,1.5,,,,,368642,,lader,CTTROT,,3300,BUKU 464980 3,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,25000,20TK,3087323,,1,25000,,,,368642,,lader,CTTROT,,4000,PCVU 288030 0,38.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,25000,20TK,3087325,,1,,,,,368642,,lader,CTTROT,,4000,MNTU 126128 0,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,25000,26TK,3087338,,1.3,,,,,368642,,lader,CTTROT,,4800,EXFU 879670 1,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,26000,20TK,3087320,,1,25100,,,,368642,,lader,CTTROT,,4000,PCVU 260008 2,15.02.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,26000,26TK,3087337,,1.3,26000,,,,368642,,lader,CTTROT,,4800,EXFU 878919 5,04.02.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,26100,20DV,3087332,,1,28740,,,,368642,,lader,CTTROT,,2300,TDTU 312590 5,12.01.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,26100,20DV,3087333,,1,26300,,,,368642,,lader,CTTROT,,2300,CAXU 688899 4,25.01.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,26100,20DV,3087446,,1,26100,,,,368642,,lader,CTTROT,,2300,TTNU 164893 2,07.02.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,27000,20TK,3087322,,1,27050,,,,368642,,lader,CTTROT,,4000,PCVU 288015 2,20.02.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,27000,20TK,3087324,,1,26430,,,,368642,,lader,CTTROT,,4000,PCVU 288018 9,38.01.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,27000,26TK,3087339,,1.3,0,,,,368642,,lader,CTTROT,,4800,PCCU 352603 9,51.14.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,27000,26TK,3087342,,1.3,0,,,,368642,,lader,CTTROT,,4800,TANU 351120 0,47.13.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,27440,30BU,3087348,,1.5,27440,,,,368642,,lader,CTTROT,,3300,UBBU 116019 2,06.04.2,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,28000,22TK,3087336,,1.1,,,,,368642,,lader,CTTROT,,4800,PAWU 310003 2,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,28000,24TK,3087343,,1.2,,,,,368642,,lader,CTTROT,,4800,BIDU 495757 7,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,28000,24TK,3087344,,1.2,,,,,368642,,lader,CTTROT,,4800,BIDU 590373 9,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,,,28000,26TK,3087346,,1.3,,,,,368642,,lader,CTTROT,,4800,PAWU 310012 0,,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,1547000,6.1,24000,20TK,3087331,,1,23380,,,,368642,,lader,CTTROT,,4000,AAMU 262425 6,24.14.4,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,2789000,8,24920,20TK,3087328,,1,24920,,,,368642,,lader,CTTROT,,4000,RCLU 930308 8,23.06.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,3082000,9,13640,45PW,3087365,,2.25,13640,,,,368642,,lader,CTTROT,,4400,EUCU 456165 5,45.06.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,3082000,9,27000,26TK,3087340,,1.3,27000,,,,368642,,lader,CTTROT,,4800,TANU 351119 6,17.11.1,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,3082000,9,27000,26TK,3087341,,1.3,27000,,,,368642,,lader,CTTROT,,4800,TANU 351112 8,TRUCK,25,13,False,1600,0.9,False,1
,,CTTROT20210406POL,,,,3267002,8,25500,20TK,3087330,,1,25500,,,,368642,,lader,CTTROT,,4000,DHDU 208915 1,06.11.4,25,13,False,1600,0.9,False,1
4,,CTTROT20210406POL,SGNS,11,31804557013-8,,,,,,,,,20000,60,,368642,60000,,,19.639999389648438,,,,25,13,False,1600,0.9,False,1
4,,CTTROT20210406POL,SGNS,12,37804557360-7,,,,,,,,,20000,60,,368642,60000,,,19.639999389648438,,,,25,13,False,1600,0.9,False,1
4,,CTTROT20210406POL,Sgns60,7,37804557411-8,,,,,,,,,20000,60,,368642,72000,,,19.639999389648438,,,,25,13,False,1600,0.9,False,1
