Partner-Ref;Referenz;Waggon-Nr.;BU;Auftrag;Ladedatum;Container #;Turn-Out;Seeschiff;Ladest.;TEU;Termin;CTyp;Reeder;C-Gross;C-Netto;Cls;VP;Warenbezeichnung;GG-Bez.;ETA;Ladestelle;Entladest.;Zollagent;T1#
AANWEZIG CTT;;;BSL;1201201460;12/02/2021;UACU8573114;1T57XRYYA2;HMM COPENHAGEN;CTT Rotterdam BV, Rotterdam;2;16/02/2021;40DV;Hapag Lloyd, Rotterdam;10.993,00;6993;270;Kartons;Möbel;;15/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2EE40
AANWEZIG CTT;;;BSL;1201203044;12/02/2021;TCNU8329451;O99S03M;APL RAFFLES;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;CMA CGM Belgium N.V., Antwerpen;8.310,00;4310;925;Kartons;PAPER BOWL;;05/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;"21NL00051013B4E146
21NL00051013D03AB7"
AANWEZIG CTT;;;BSL;1201203982;12/02/2021;FSCU4767469;25SGCVN;MSC RACHELE;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40DV;CMA CGM Belgium N.V., Antwerpen;9.256,00;5256;720;Packstücke;COTTON POWERLOOM MADE-UPS YARN DYED CUSHION;;18/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013EB1085
AANWEZIG CTT;;;BSL;1201204229;12/02/2021;MRSU3830899;7757178;MSC VANDYA;CTT Rotterdam BV, Rotterdam;2;16/02/2021;40HC;Hamburg Süd Nederland, Rotterdam;6.699,00;2699;364;Packstücke;Möbel;;23/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE479
AANWEZIG CTT;;;BSL;1201204233;12/02/2021;YMLU3488680;FE28975052;HMM COPENHAGEN;CTT Rotterdam BV, Rotterdam;1;16/02/2021;20DV;Yang Ming, Hamburg;6.055,00;3855;330;Packstücke;Möbel;;16/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F072
AANWEZIG CTT;;;BSL;1201204234;12/02/2021;BEAU2493074;FE28975060;HMM COPENHAGEN;CTT Rotterdam BV, Rotterdam;1;16/02/2021;20DV;Yang Ming, Hamburg;7.355,00;5155;192;Packstücke;Möbel;;16/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F080
AANWEZIG CTT;;;BSL;1201204253;12/02/2021;HLBU2959067;1V4LAH74VQ;MARIBO MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hapag Lloyd, Rotterdam;5.692,00;3492;354;Packstücke;Möbel;;29/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE3F3
AANWEZIG CTT;;;BSL;1201204570;12/02/2021;HLBU1150144;1P5JXGAFZ6;AFIF;CTT Rotterdam BV, Rotterdam;2;16/02/2021;40HC;Hapag Lloyd, Rotterdam;7.725,00;3725;275;Packstücke;Möbel;;21/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE7A0
AANWEZIG CTT;;;BSL;1201204576;12/02/2021;FSCU8548725;ADW5XJK;HMM ST PETERSBURG;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Ocean Network Express Germany, Hamburg;9.517,00;5517;423;Packstücke;Möbel;;28/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F0B3
AANWEZIG CTT;;;BSL;1210100032;12/02/2021;TRHU5337420;3JG6LR0;HMM ST PETERSBURG;CTT Rotterdam BV, Rotterdam;2;16/02/2021;40HC;Ocean Network Express Germany, Hamburg;6.595,10;2595.1;72;Packstücke;Möbel;;28/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F0C1
AANWEZIG CTT;;;BSL;1210100403;12/02/2021;HAMU1086960;1T4LAT272G;AFIF;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hapag Lloyd, Rotterdam;9.860,00;7660;200;Packstücke;FURNITURE;;21/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE7B7
AANWEZIG CTT;;;BSL;1210100420;08/02/2021;CCLU7131154;51027386;CMA CGM SCANDOLA;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Cosco Container Lines Europe GmbH, Hong Kong;17.979,00;13979;649;Packstücke;GAZEBO, GAZEBO TOP COVER;;27/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F104
