"UACU8573114","2","40DV","10.993,00","6993","15.04.1 (CTTROT)","270","Kartons"
"TCNU8329451","2","40HC","8.310,00","4310","33.04.3 (CTTROT)","925","Kartons"
"FSCU4767469","2","40DV","9.256,00","5256","47.06.1 (CTTROT)","720","Packst?cke"
"MRSU3830899","2","40HC","6.699,00","2699","41.03.1 (CTTROT)","364","Packst?cke"
"YMLU3488680","1","20DV","6.055,00","3855","10.02.2 (CTTROT)","330","Packst?cke"
"BEAU2493074","1","20DV","7.355,00","5155","10.02.1 (CTTROT)","192","Packst?cke"
"HLBU2959067","1","20DV","5.692,00","3492","52.11.1 (CTTROT)","354","Packst?cke"
"HLBU1150144","2","40HC","7.725,00","3725","41.03.2 (CTTROT)","275","Packst?cke"
"FSCU8548725","2","40HC","9.517,00","5517","47.06.3 (CTTROT)","423","Packst?cke"
"TRHU5337420","2","40HC","6.595,10","2595.1","13.04.1 (CTTROT)","72","Packst?cke"
"HAMU1086960","1","20DV","9.860,00","7660","16.05.2 (CTTROT)","200","Packst?cke"
"CCLU7131154","2","40HC","17.979,00","13979","13.04.2 (CTTROT)","649","Packst?cke"
"CSNU7158955","2","40HC","17.206,00","13206","47.06.2 (CTTROT)","284","Packst?cke"
"FFAU1493310","2","40HC","8.772,00","4772","31.03.2 (CTTROT)","966","Kartons"
"MSKU4084514","1","20DV","6.748,63","4548.63","OCC (CTTROT)","591","Kartons"
"CNIU1179899","1","20DV","11.312,55","9112.55","OCC (CTTROT)","119","Packst?cke"
"MSKU7768357","1","20DV","9.591,95","7391.95","OCC (CTTROT)","303","Packst?cke"
"MRKU9831009","1","20DV","6.750,00","4550","OCC (CTTROT)","280","Packst?cke"
"FFAU1740637","2","40HC","26.000,00","22000","OCC (CTTROT)","910","Packst?cke"
"MEDU5877090","1","20DV","7.854,00","5654","OCC (CTTROT)","11","Paletten"
"UACU8458337","2","40DV","13.065,00","9065","49.06.1 (CTTROT)","455","Packst?cke"
"TCLU4861638","2","40HC","17.889,24","13889.2","49.05.1 (CTTROT)","705","Packst?cke"
"TRHU2371437","1","20DV","22.920,00","20720","OCC (CTTROT)","1205","Packst?cke"
"CAIU9170709","2","40HC","7.994,00","3994","33.03.3 (CTTROT)","223","Packst?cke"
"CCLU7905815","2","40HC","6.616,00","2616","29.04.1 (CTTROT)","122","Packst?cke"
"OOCU6984995","2","40HC","6.088,00","2088","31.03.3 (CTTROT)","72","Packst?cke"
"MSKU7425682","1","20DV","6.269,00","4069","OCC (CTTROT)","445","Packst?cke"
"MSKU5622960","1","20DV","8.288,10","6088.1","OCC (CTTROT)","373","Kartons"
"DFSU2474234","1","20DV","22.328,00","20128","OCC (CTTROT)","7200","Paletten"
"UETU4152805","2","40DV","6.532,00","2532","31.03.1 (CTTROT)","20","Paletten"
"NYKU9703148","1","20DV","7.947,00","5747","12.05.3 (CTTROT)","21","Paletten"
"SEGU6956409","2","40HC","10.560,00","6560","19.03.1 (CTTROT)","296","Packst?cke"
"UACU5513718","2","40HC","21.211,90","17211.9","13.04.3 (CTTROT)","1892","Kartons"
"FFAU1437852","2","40HC","18.612,03","14612.0","49.06.2 (CTTROT)","1614","Packst?cke"
"TGHU9352530","2","40HC","14.203,78","10203.7","19.02.1 (CTTROT)","832","Kartons"
"UACU4058522","1","20DV","4.021,20","1821.2","36.05.3 (CTTROT)","11","Paletten"
"UACU8213355","2","40DV","9.100,00","5100","19.02.2 (CTTROT)","5","Packst?cke"
"MSKU5983540","1","20DV","12.504,80","10304.8","OCC (CTTROT)","400","Packst?cke"
"TRHU3560395","1","20DV","21.328,00","19128","17.01.3 (CTTROT)","3188","Kartons"
"GLDU9674479","1","20DV","21.400,00","19200","15.03.1 (CTTROT)","3200","Kartons"
"MRSU3771482","2","40HC","11.296,00","7296","39.04.3 (CTTROT)","1280","Kartons"
"MSKU8474491","2","40HC","26.610,30","22610.3","BURGERHEK (CTTROT)","837","Kartons"
"BIDU4903457","1","20TK","29.340,00","26000","27.05.1 (CTTROT)","1","Packst?ck"
"HLXU8157786","2","40HC","11.155,00","7155",,"345","Packst?cke"
"FFAU1387751","2","40HC","13.612,10","9612.1",,"472","Kartons"
"GCXU2159268","1","20DV","19.885,00","17685",,"3825","Kartons"
"TRHU1743170","1","20DV","17.523,72","15323.7",,"3297","Kartons"
"HLXU3248190","1","20DV","9.461,16","7261.16",,"1036","Packst?cke"
"NYKU9753220","1","20DV","25.864,50","23664.5",,"2350","Packst?cke"
"TEMU0617786","1","20DV","25.864,50","23664.5",,"2350","Packst?cke"
"TCKU1381047","1","20DV","22.550,00","20350",,"3700","Kartons"
"TCKU3215019","1","20DV","22.550,00","20350",,"3700","Packst?cke"
"TGBU9639662","2","40HC","9.035,00","5035",,"1060","Kartons"
"TCLU4945699","2","40HC","6.806,00","2806",,"93","Kartons"
"TCNU7206940","2","40HC","7.250,00","3250",,"185","Kartons"
"GLDU9437163","1","20DV","19.190,00","16990",,"2013","Packst?cke"
"BMOU5311347","2","40HC","18.078,30","14078.3",,"1610","Packst?cke"
