WAGONLIST CALL CTTROT20210212BASEL / BASEL / 12-02-2021;;;;;;;;;Combi Terminal Twente b.v.;;;;
;;;;;;;;;;;;;
Train;: Contargo Basel;;;;;;;;;;;;
Train reference;: ;;;;;;;;;;;;
Call;: CTTROT20210212BASEL;;;;;;;;;;;;
;;;;;;;;;;;;;
Total length (m):;;585,78;Total weight containers (ton):;;0;;;;;;;;
Total number of loaded axes:;;128;Total weight train (ton):;;38;;;;;;;;
Total number of empty axes:;;0;Total brake weight (ton):;;0;;;;;;;;
;;;;;;;;;;;;;
W. pos.;Wagon;Type;Length (m);Loaded axes;Empty axes;Total weight containers (ton);Total weight (ton);Brake weight (ton);From;To;GEVI;UN number;
1;33854552197-7;PCC-SGNS;20;4;;0;38;0;;;;;
2;33524960072-7;SGGMRS;29,59;6;;0;0;0;;;;;
3;33854552178-7;PCC-RGS;20;4;;0;0;0;;;;;
4;37844960724-1;SGGRSS;26,7;6;;0;0;0;;;;;
5;37844960722-5;SGGRSS;26,7;6;;0;0;0;;;;;
6;37844960716-7;SGGRSS;26,7;6;;0;0;0;;;;;
7;37844960717-5;SGGRSS;26,7;6;;0;0;0;;;;;
8;37844960720-9;SGGRSS;26,7;6;;0;0;0;;;;;
9;37844960718-3;SGGRSS;26,7;6;;0;0;0;;;;;
10;37844960713-4;SGGRSS;26,7;6;;0;0;0;;;;;
11;37844960715-9;SGGRSS;26,7;6;;0;0;0;;;;;
12;37844960721-7;SGGRSS;26,7;6;;0;0;0;;;;;
13;37844960712-6;SGGRSS;26,7;6;;0;0;0;;;;;
14;37844960714-2;SGGRSS;26,7;6;;0;0;0;;;;;
15;37844960719-1;SGGRSS;26,7;6;;0;0;0;;;;;
16;37844960729-0;SGGRSS;26,7;6;;0;0;0;;;;;
17;37844960726-6;SGGRSS;26,7;6;;0;0;0;;;;;
18;37804960550-4;SGGRS;26,7;6;;0;0;0;;;;;
19;37804960524-9;SGGRSS;26,7;6;;0;0;0;;;;;
20;37804961409-2;SGGMRS;29,59;6;;0;0;0;;;;;
21;33884552903-5;SGNS;19,4;4;;0;0;0;;;;;
22;33884552952-2;SGNSS;20;4;;0;0;0;;;;;
23;33884552949-8;SGNSS;20;4;;0;0;0;;;;;
