NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY
,,CTTROT20210227POL,,,,,,0,20DV,2998194,,1,,,,,366925,,lader,CTTROT,,2300,TKRU 303861 6,,,
,,CTTROT20210227POL,,,,,,0,20DV,2998196,,1,,,,,366925,,lader,CTTROT,,2300,TKRU 321319 6,,,
,,CTTROT20210227POL,,,,,,0,23TK,2998057,,1.15,,,,,366925,,lader,CTTROT,,4800,MCMU 735051 5,,,
,,CTTROT20210227POL,,,,,,0,26TK,2998059,,1.3,,,,,366925,,lader,CTTROT,,4800,GMCU 238086 6,,,
,,CTTROT20210227POL,,,,,,0,30TK,2998060,,1.5,,,,,366925,,lader,CTTROT,,2800,EURU 405291 2,,,
,,CTTROT20210227POL,,,,,,0,45PW,2997918,,2.25,,,,,366925,,lader,CTTROT,,4400,SANU 751412 4,,,
,,CTTROT20210227POL,,,,,,3033,45PW,2998047,,2.25,,,,,366925,,lader,CTTROT,,4400,CLDU 970533 9,,,
,,CTTROT20210227POL,,,,,,3800,23TK,2998055,,1.15,,,,,366925,,lader,CTTROT,,4800,MEBU 330039 4,,,
,,CTTROT20210227POL,,,,,,3931,40HC,2998034,,2,,,,,366925,,lader,CTTROT,,4200,APHU 650279 0,,,
,,CTTROT20210227POL,,,,,,5440,45PW,2998051,,2.25,,,,,366925,,lader,CTTROT,,4400,SANU 797461 8,,,
,,CTTROT20210227POL,,,,,,5480,45PW,2998049,,2.25,,,,,366925,,lader,CTTROT,,4400,CNEU 456619 8,,,
,,CTTROT20210227POL,,,,,,11366,40HC,2998037,,2,0,,,,366925,,lader,CTTROT,,4200,EMCU 133658 0,STOP5,,
